top_image,left_image,right_image,corr_ans
stimuli/neutral/M_nim/neutral_nim_m_22.jpg,stimuli/neutral/M_nim/neutral_nim_m_22.jpg,stimuli/neutral/M_nim/neutral_nim_m_38.jpg,1
stimuli/neutral/F_nim/neutral_nim_f_05.jpg,stimuli/neutral/F_nim/neutral_nim_f_10.jpg,stimuli/neutral/F_nim/neutral_nim_f_05.jpg,2
stimuli/neutral/M_nim/neutral_nim_m_28.jpg,stimuli/neutral/M_nim/neutral_nim_m_26.jpg,stimuli/neutral/M_nim/neutral_nim_m_28.jpg,2
stimuli/neutral/F_nim/neutral_nim_f_03.jpg,stimuli/neutral/F_nim/neutral_nim_f_15.jpg,stimuli/neutral/F_nim/neutral_nim_f_03.jpg,2
stimuli/neutral/F_nim/neutral_nim_f_02.jpg,stimuli/neutral/F_nim/neutral_nim_f_02.jpg,stimuli/neutral/F_nim/neutral_nim_f_11.jpg,1
stimuli/neutral/M_nim/neutral_nim_m_37.jpg,stimuli/neutral/M_nim/neutral_nim_m_37.jpg,stimuli/neutral/M_nim/neutral_nim_m_27.jpg,1
